old;new;obj;diff_kind;subst
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.InterfaceTypeImpl IListFactoryBean;CHANGE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.InterfaceImpl org_springframework_beans_factory_config_ListFactoryBean_provIListFactoryBean;CHANGE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.InterfaceImpl blMessageSourceBaseNames_provIListFactoryBean_inst;DELETE;false
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.CompClassImpl "org.springframework.beans.factory.config.ListFactoryBean";CHANGE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.CompInstanceImpl "blMessageSourceBaseNames";DELETE;false
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl getEarlySingletonInterfaces;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl getSingletonInstance;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl destroyInstance;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl setSourceList;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl getEarlySingletonInterfaces;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl getSingletonInstance;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl destroyInstance;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl setSourceMap;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl setEntityManagerFactory;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl createEntityManager;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl setJpaProperties;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl setJpaPropertyMap;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl setEntityManagerInterface;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.ParameterImpl arg0;ADD;false
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl getPersistenceUnitUtil;MOVE;null
broadleaf-5.0.11-GA;broadleaf-5.0.12-GA;class dedal.impl.SignatureImpl getMetamodel;MOVE;null
